SPEC;LONG;LAT
Hypopyrrhus pyrohypogaster;-76.102083;1.615917
Hypopyrrhus pyrohypogaster;-75.522122;6.120085
Hypopyrrhus pyrohypogaster;-74.05;4.35
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-76.744722;1.069722
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.547222;6.9
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.547222;6.9
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.71;6.1275
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.71;6.1275
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.616111;6.034722
Hypopyrrhus pyrohypogaster;-75.05;6.966667
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.105278;6.871944
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.011944;6.938056
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.105278;6.871944
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.108611;6.828889
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.011944;6.938056
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.108611;6.828889
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.143056;6.987778
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
