name,LONG,LAT
Hypopyrrhus pyrohypogaster,-74.05,4.35
Hypopyrrhus pyrohypogaster,-75.547222,6.9
Hypopyrrhus pyrohypogaster,-75.105278,6.871944
Hypopyrrhus pyrohypogaster,-75.011944,6.938056
Hypopyrrhus pyrohypogaster,-77.285556,0.468333
Hypopyrrhus pyrohypogaster,-75.926423,5.404747
Hypopyrrhus pyrohypogaster,-75.717915,5.62938
Hypopyrrhus pyrohypogaster,-75.762659,6.231071
Hypopyrrhus pyrohypogaster,-76.652041,1.137653
Hypopyrrhus pyrohypogaster,-74.856956,5.901181
Hypopyrrhus pyrohypogaster,-75.449666,5.931667
Hypopyrrhus pyrohypogaster,-75.646535,6.135519
Hypopyrrhus pyrohypogaster,-76.073345,5.836262
Hypopyrrhus pyrohypogaster,-75.368092,6.541634
Hypopyrrhus pyrohypogaster,-75.754283,1.758874
Hypopyrrhus pyrohypogaster,-76.185429,1.659482
Hypopyrrhus pyrohypogaster,-76.021185,5.127512
Hypopyrrhus pyrohypogaster,-75.901236,5.203527
Hypopyrrhus pyrohypogaster,-76.007821,6.662451
Hypopyrrhus pyrohypogaster,-75.770014,4.540054
Hypopyrrhus pyrohypogaster,-75.142464,6.395234
Hypopyrrhus pyrohypogaster,-76.227997,6.633166
Hypopyrrhus pyrohypogaster,-75.513625,2.147496
Hypopyrrhus pyrohypogaster,-76.30801,1.574313
Hypopyrrhus pyrohypogaster,-75.118132,5.458668
Hypopyrrhus pyrohypogaster,-75.714543,5.42711
Hypopyrrhus pyrohypogaster,-76.021979,6.753942
Hypopyrrhus pyrohypogaster,-75.15,7.133333
Hypopyrrhus pyrohypogaster,-76.53295,1.611345
Hypopyrrhus pyrohypogaster,-75.828726,6.560371
Hypopyrrhus pyrohypogaster,-76.109057,1.60986
Hypopyrrhus pyrohypogaster,-75.677807,7.111277
Hypopyrrhus pyrohypogaster,-76.532843,2.675443
Hypopyrrhus pyrohypogaster,-76.339158,6.696635
Hypopyrrhus pyrohypogaster,-75.666955,5.51038
Hypopyrrhus pyrohypogaster,-75.662037,1.840371
Hypopyrrhus pyrohypogaster,-75.953663,5.621709
Hypopyrrhus pyrohypogaster,-75.49767,6.34367
Hypopyrrhus pyrohypogaster,-75.797253,5.807036
Hypopyrrhus pyrohypogaster,-76.611872,1.734645
Hypopyrrhus pyrohypogaster,-75.496051,5.849132
Hypopyrrhus pyrohypogaster,-75.702222,5.747778
Hypopyrrhus pyrohypogaster,-76.102467,5.240025
Hypopyrrhus pyrohypogaster,-75.168314,5.375292
Hypopyrrhus pyrohypogaster,-76.262026,6.538028
